Category,Category Name,Scheme Name,Description,Benefits,Flaws,Level
M20,Death Reviews (MDR) Done,Child Death Review (CDR) Program,Focuses on under-five mortality investigations,Supports strategies to reduce child deaths,Low coverage in certain rural regions,State
M20,Death Reviews (MDR) Done,Perinatal Death Review Program,Tracks perinatal deaths to identify systemic issues,Improves neonatal care practices,Incomplete data from private hospitals,National
M20,Death Reviews (MDR) Done,Electronic Death Reporting System,Introduces digital platforms for reporting deaths,Improves timeliness and accuracy of mortality data,Requires reliable internet connectivity,State
M20,Death Reviews (MDR) Done,Stillbirth and Neonatal Death Review Program,Monitors stillbirths and neonatal deaths,Supports targeted interventions to improve survival rates,Resource limitations in some districts,National
M20,Death Reviews (MDR) Done,National Guidelines for Death Reviews,Standardizes death review processes across states,Improves consistency and reliability of mortality investigations,Lack of enforcement in under-resourced regions,National
M20,Death Reviews (MDR) Done,Community-Based Death Notification Program,Encourages reporting of deaths at the community level,Improves mortality data completeness,Cultural barriers to reporting still exist,State
M20,Death Reviews (MDR) Done,Public Awareness Campaign on Death Reviews,Educates communities on the importance of death reviews,Increases participation and accurate reporting,Limited reach in some rural areas,State
M20,Death Reviews (MDR) Done,Integrated Mortality Review System,"Combines reviews of maternal, child, and other deaths",Provides holistic insights for healthcare improvements,Coordination challenges among departments,National
M20,Death Reviews (MDR) Done,Audit-Based Policy Recommendations Program,Generates evidence-based policies from death audits,Supports systemic improvements in healthcare delivery,Delays in translating findings into policies,National
M21,National Ambulance Services,National Ambulance Services (NAS),Provides emergency medical transport nationwide,Reduces pre-hospital mortality,Shortage of ambulances in remote areas,National
M21,National Ambulance Services,108 Emergency Response Services,Offers free ambulance services for emergencies,Improves access to timely care in critical situations,Delays in response time in urban traffic,State
M21,National Ambulance Services,Mobile Medical Units (MMUs),Delivers healthcare services in remote areas,Improves access to primary care and diagnostics,Frequent maintenance issues with vehicles,State
M21,National Ambulance Services,Advanced Life Support Ambulance Initiative,Introduces ambulances equipped with life-saving equipment,Improves survival rates during transit,Lack of trained personnel to operate advanced equipment,National
M21,National Ambulance Services,Community Awareness Campaigns on Ambulance Services,Educates the public on how to access emergency services,Increases utilization of ambulance networks,Lack of awareness in rural areas,State
M21,National Ambulance Services,Rural Ambulance Outreach Program,Focuses on improving ambulance coverage in rural regions,Reduces delays in accessing emergency care,Resource constraints for expanding coverage,National
M21,National Ambulance Services,Integrated Ambulance Dispatch System,Implements a centralized system for dispatching ambulances,Optimizes response times and resource utilization,Connectivity issues in remote regions,State
M21,National Ambulance Services,Maternal and Neonatal Ambulance Services,Provides specialized transport for pregnant women and newborns,Improves maternal and neonatal outcomes,Limited availability in underserved areas,National
M21,National Ambulance Services,Ambulance Fleet Modernization Program,Upgrades existing ambulance vehicles with modern technology,Enhances operational efficiency and reliability,High cost of fleet replacement,State
M21,National Ambulance Services,Training Programs for Ambulance Staff,Provides emergency care training for paramedics and drivers,Improves pre-hospital care outcomes,Inconsistent training quality,National
M22,NLEP,National Leprosy Eradication Programme (NLEP),Aims to eliminate leprosy as a public health problem,Reduces stigma and ensures early treatment,Delayed case detection in remote areas,National
M22,NLEP,Leprosy Case Detection Campaigns (LCDC),Conducts community screenings for leprosy,Improves early diagnosis and treatment adherence,Coverage gaps in certain regions,National
M22,NLEP,Multi-Drug Therapy (MDT) Distribution Program,Provides free multi-drug therapy for leprosy patients,Prevents disability and reduces transmission,Limited awareness about availability,State
M22,NLEP,Leprosy Rehabilitation Program,Focuses on physical and social rehabilitation of leprosy patients,Improves quality of life and reduces stigma,Insufficient rehabilitation centers,National
M22,NLEP,Community Awareness Campaigns on Leprosy,Educates communities about leprosy prevention and treatment,Reduces stigma and encourages early diagnosis,Cultural barriers in some regions,State
M22,NLEP,Training Program for Leprosy Health Workers,Builds capacity for early detection and treatment of leprosy,Improves care quality in endemic areas,High attrition rates among health workers,National
M22,NLEP,Integration of Leprosy Services into Primary Health Centers,Ensures treatment availability at PHCs,Increases accessibility for rural populations,Lack of trained staff in PHCs,State
M22,NLEP,Digital Leprosy Surveillance System,Tracks leprosy cases and treatment outcomes,Improves monitoring and planning,Lack of consistent data entry practices,National
M22,NLEP,Leprosy Prevention and Disability Care Program,Provides care for leprosy-induced disabilities,Reduces physical and social barriers for patients,Limited resources for disability care,State
M22,NLEP,World Leprosy Day Awareness Drives,Promotes global awareness of leprosy challenges,Encourages community participation in eradication efforts,Requires sustained campaigns for long-term impact,National
